video_id,title,channel_title,views,likes,dislikes,ratings_disabled,latest_trend_year,latest_trend_month,latest_trend_day,num_trend_days
7HGCE6-LMBg,Ari's Birthday! (again),Jaiden Animations,3132527,231420.0,797.0,False,2018,5,14,14
7Jz8wZbXuDA,"Ronda Rousey gets her WrestleMania match: Raw, March 5, 2018",WWE,4344751,64416.0,3742.0,False,2018,3,14,8
7LjC-nUPrNg,Kids Try 100 Years of the Most Expensive Foods | Bon Appétit,Bon Appétit,3708663,40325.0,5492.0,False,2018,1,17,6
7UoP9ABJXGE,Dan + Shay - Speechless (Wedding Video),Dan And Shay,5534278,45128.0,1591.0,False,2018,6,14,24
7bfS6seiLhk,The Kissing Booth | Official Trailer [HD] | Netflix,Netflix,7308023,144410.0,5839.0,False,2018,5,14,6
7iQn-toQp6A,Benjamin Glaze Auditions for American Idol With Nick Jonas' Levels - American Idol 2018 on ABC,American Idol,6535720,16788.0,4312.0,False,2018,3,19,4
7kLO2AB5SPM,about Logan Paul,CaseyNeistat,5069042,228488.0,17598.0,False,2018,2,13,4
7rOQv_6L9fQ,Why the triple axel is such a big deal,Vox,2494584,35785.0,7591.0,False,2018,2,15,3
7tYUMo3IgXg,"New $24,000 Singapore Airlines First-Class Suite",BuzzFeedBlue,2524578,43735.0,2468.0,False,2018,3,24,7
7wDUrQAaYsM,Enrique Iglesias - MOVE TO MIAMI (Lyric Video) ft. Pitbull,EnriqueIglesiasVEVO,3424478,79048.0,3650.0,False,2018,5,14,8
8-Cjsnq8kVU,Deadpool’s “Wet on Wet” Teaser,20th Century Fox,12382809,328876.0,7238.0,False,2017,11,23,8
817P8W8-mGE,Ed Sheeran - Perfect Duet (with Beyoncé) [Official Audio],Ed Sheeran,36101955,998395.0,22585.0,False,2017,12,8,7
89OP78l9oF0,Annihilation (2018) - Official Trailer - Paramount Pictures,Paramount Pictures,5376583,32001.0,3025.0,False,2017,12,20,7
8BAhwgjMvnM,Pacific Rim Uprising - Official Trailer 2 [HD],Legendary,7227939,72979.0,6069.0,False,2018,1,31,7
8BQqX3bUqtY,Diplo - Get It Right (Feat. Mø) (Official Video),Diplo,2504920,100045.0,1741.0,False,2018,1,18,7
8JnfIa84TnU,Clean Bandit - Solo feat. Demi Lovato [Official Video],Clean Bandit,21250349,454441.0,10532.0,False,2018,6,14,14
8LPVjHxXvJM,Jimmy Interviews Cardi B,The Tonight Show Starring Jimmy Fallon,5356548,141037.0,7187.0,False,2017,12,23,3
8MPbR6Cbwi4,Justin Timberlake - Say Something (Official Video) ft. Chris Stapleton,justintimberlakeVEVO,15043210,247709.0,8609.0,False,2018,2,1,7
8O_MwlZ2dEg,j-hope 'Airplane' MV,ibighit,12163782,1784129.0,11162.0,False,2018,3,19,13
8V08Gu1DOgE,Fifty Shades Freed - Mrs. Grey Will See You Now [HD],Fifty Shades,3322130,35099.0,6902.0,False,2018,1,4,3
8X2kIfS6fb8,Cyberpunk 2077 – official E3 2018 trailer,Cyberpunk 2077,9893438,247947.0,3408.0,False,2018,6,14,2
